ngram,coef
return,-6.528087299378436
returned,-6.473920205842205
disappointed,-6.249882185752186
poor,-5.736172039860823
useless,-5.673207113494035
waste,-5.541893347583135
even,-5.086354506280535
returning,-5.082953025341944
junk,-4.641396888722793
horrible,-4.394413327297869
terrible,-4.389996857035958
broke,-4.243763116500929
garbage,-4.164176349488577
crap,-4.13015370718638
unusable,-4.100683369611842
poorly,-3.891296880949436
tried,-3.8128339764561714
cheap,-3.684770135504777
work,-3.6551580038439706
defective,-3.5621666784586288
waste money,-3.552447043127698
two stars,-3.5429565722404606
worst,-3.519301055538454
oes work,-3.4013609101011126
refund,-3.3735860549985492
guess,-3.3664383974573324
barely,-3.3438317398075657
apart,-3.325724067306177
stopped,-3.3177916377974355
months,-3.3045023770556567
