ngram,coef
great,8.023405635776653
reat,6.970111030656737
little,6.766305398046318
bit,5.884272311076624
nice,5.7531389738698095
ice,5.692470750042695
orks,5.674731767431242
perfect,5.666217951599608
price,5.402465950491569
well,5.235520599524629
easy,4.890286715628523
perfectly,4.789554926572353
job,4.6617003204337895
works,4.096022213961516
fine,4.020555851079709
ood,3.9239480208973028
stars,3.9121841822687466
solid,3.888343844416011
needed,3.8356855008820263
wish,3.8209867045457546
still,3.6193519059076786
complaint,3.547867882114794
awesome,3.4458900949626194
ecent,3.3895085339517483
pretty good,3.304217149239006
ove,3.2837399598395667
complaints,3.2414669832157728
pretty,3.21152261986514
handy,3.099744903420421
ery good,3.007206480974751
